Env,Correction,Tries So Far,Success Rate,Intervention Prop
PickPlaceCan,1,13,0.4,0.09836065573770492
PickPlaceCan,2,14,0.15,0.30851063829787234
PickPlaceCan,3,16,0.1,0.4961832061068702
PickPlaceCan,4,17,0.2,0.34782608695652173
PickPlaceCan,5,18,0.4,0.358695652173913
PickPlaceCan,6,19,0.25,0.24545454545454545
PickPlaceCan,7,22,0.3,0.10526315789473684
PickPlaceCan,8,23,0.55,0.20535714285714285
PickPlaceCan,9,24,0.65,0.32075471698113206
PickPlaceCan,10,25,0.45,0.3597122302158273
PickPlaceCan,11,26,0.2,0.3974358974358974
PickPlaceCan,12,28,0.65,0.27586206896551724
PickPlaceCan,13,29,0.3,0.24427480916030533
PickPlaceCan,14,30,0.4,0.15730337078651685
PickPlaceCan,15,31,0.5,0.18
PickPlaceCan,16,32,0.55,0.4892086330935252
PickPlaceCan,17,33,0.3,0.33035714285714285
PickPlaceCan,18,34,0.4,0.14782608695652175
PickPlaceCan,19,35,0.55,0.20689655172413793
PickPlaceCan,20,37,0.25,0.3225806451612903
PickPlaceCan,21,38,0.5,0.23300970873786409
PickPlaceCan,22,39,0.45,0.2808988764044944
PickPlaceCan,23,40,0.25,0.3236994219653179
PickPlaceCan,24,41,0.5,0.2018348623853211
PickPlaceCan,25,43,0.55,0.30275229357798167
PickPlaceCan,26,44,0.3,0.2875
PickPlaceCan,27,46,0.25,0.5491329479768786
PickPlaceCan,28,47,0.45,0.2714285714285714
PickPlaceCan,29,48,0.4,0.5510204081632653
PickPlaceCan,30,49,0.35,0.3382352941176471
PickPlaceCan,31,50,0.55,0.35784313725490197
PickPlaceCan,32,51,0.45,0.18253968253968253
PickPlaceCan,33,52,0.7,0.19658119658119658
PickPlaceCan,34,54,0.5,0.37815126050420167
PickPlaceCan,35,55,0.5,0.10852713178294573
PickPlaceCan,36,56,0.45,0.13402061855670103
PickPlaceCan,37,57,0.5,0.17391304347826086
PickPlaceCan,38,58,0.55,0.40476190476190477
PickPlaceCan,39,59,0.3,0.15463917525773196
PickPlaceCan,40,60,0.4,0.2366412213740458
PickPlaceCan,41,61,0.55,0.1984732824427481
PickPlaceCan,42,62,0.4,0.676056338028169
PickPlaceCan,43,63,0.6,0.1891891891891892
PickPlaceCan,44,64,0.35,0.03571428571428571
PickPlaceCan,45,65,0.4,0.2289156626506024
